condition,behavior_condition,root_id,priority_score,abs_score,score,target_direction,side,cell_class,cell_type,hemibrain_type,top_nt,mean_approach_margin,behavioral_side_asymmetry,memory_axis_abs_mass,response_laterality_abs,min_empirical_fdr_q
subtype_left_glutamate_enriched_kc_KCab-c_KCab,,720575940616463477,0.030135013999999998,0.02620436,0.006789533,activated,left,MBON,MBON22,MBON22,acetylcholine,,,,,
subtype_left_glutamate_enriched_kc_KCab-c_KCab,,720575940630496374,0.026841691149999996,0.023340601,-0.023340601,suppressed,right,MBON,MBON05,MBON05,glutamate,,,,,
subtype_left_glutamate_enriched_kc_KCab-c_KCab,,720575940643696288,0.0246301825,0.02141755,0.017278988,activated,left,MBON,MBON14,MBON14,acetylcholine,,,,,
subtype_left_glutamate_enriched_kc_KCab-c_KCab,,720575940624539284,0.023409333299999998,0.020355942,0.015489272,activated,left,MBON,MBON18,MBON18,acetylcholine,,,,,
subtype_left_glutamate_enriched_kc_KCab-c_KCab,,720575940632535756,0.0216196895,0.01879973,0.014601495,activated,left,MBON,MBON14,MBON14,acetylcholine,,,,,
subtype_left_glutamate_enriched_kc_KCab-c_KCab,,720575940623201833,0.013543459149999998,0.011776921,0.0016650353,activated,left,MBON,MBON11,MBON11,gaba,,,,,
subtype_left_glutamate_enriched_kc_KCab-c_KCab,,720575940621040737,0.0125645352,0.010470446,0.0041935053,activated,left,DAN,PPL101,PPL101,dopamine,,,,,
subtype_left_glutamate_enriched_kc_KCab-m_KCab,,720575940624547622,0.16374865,0.13099892,0.07804084,activated,left,MBIN,APL,APL,gaba,,,,,
subtype_left_glutamate_enriched_kc_KCab-m_KCab,,720575940620975696,0.143784725,0.11502778,0.02770401,activated,left,MBIN,DPM,DPM,dopamine,,,,,
subtype_left_glutamate_enriched_kc_KCab-m_KCab,,720575940638028607,0.05946507399999999,0.05170876,0.03603619,activated,right,MBON,MBON06,MBON06,glutamate,,,,,
subtype_left_glutamate_enriched_kc_KCab-m_KCab,,720575940616463477,0.0403702762,0.035104588,0.01578748,activated,left,MBON,MBON22,MBON22,acetylcholine,,,,,
subtype_left_glutamate_enriched_kc_KCab-m_KCab,,720575940617302365,0.037611394,0.03270556,0.024621146,activated,left,MBON,MBON07,MBON07,glutamate,,,,,
subtype_left_glutamate_enriched_kc_KCab-m_KCab,,720575940624539284,0.036660730399999994,0.031878896,0.027787676,activated,left,MBON,MBON18,MBON18,acetylcholine,,,,,
subtype_left_glutamate_enriched_kc_KCab-m_KCab,,720575940652390134,0.0332430017,0.028906958,0.02081518,activated,left,MBON,MBON07,MBON07,glutamate,,,,,
subtype_left_glutamate_enriched_kc_KCab-m_KCab,,720575940643696288,0.033026983399999994,0.028719116,0.025975242,activated,left,MBON,MBON14,MBON14,acetylcholine,,,,,
subtype_left_glutamate_enriched_kc_KCab-m_KCab,,720575940632535756,0.030666776299999997,0.026666762,0.023347864,activated,left,MBON,MBON14,MBON14,acetylcholine,,,,,
subtype_left_glutamate_enriched_kc_KCab-m_KCab,,720575940630496374,0.020152977199999998,0.017524328,-0.017524328,suppressed,right,MBON,MBON05,MBON05,glutamate,,,,,
subtype_left_glutamate_enriched_kc_KCab-m_KCab,,720575940623201833,0.01984428385,0.017255899,0.009652551,activated,left,MBON,MBON11,MBON11,gaba,,,,,
subtype_left_glutamate_enriched_kc_KCab-m_KCab,,720575940617552340,0.014792768549999998,0.012863277,0.010242893,activated,right,MBON,MBON02,MBON02,gaba,,,,,
subtype_left_glutamate_enriched_kc_KCab-p_KCab-p,,720575940624547622,0.181721725,0.14537738,0.093270235,activated,left,MBIN,APL,APL,gaba,,,,,
subtype_left_glutamate_enriched_kc_KCab-p_KCab-p,,720575940620975696,0.1628029,0.13024232,0.041658517,activated,left,MBIN,DPM,DPM,dopamine,,,,,
