condition,cell_class,cell_type,n_targets,mean_priority_score,max_abs_score,dominant_side,dominant_nt
subtype_right_serotonin_enriched_kc_KCa_b_-ap1_KCapbp-ap1,MBON,MBON16,1,0.0296435339,0.025776986,right,acetylcholine
subtype_right_serotonin_enriched_kc_KCa_b_-ap1_KCapbp-ap1,MBON,MBON28,1,0.0289332065,0.02515931,right,acetylcholine
subtype_right_serotonin_enriched_kc_KCa_b_-ap1_KCapbp-ap1,MBON,MBON09,2,0.024383496575,0.025097527,left,gaba
subtype_right_serotonin_enriched_kc_KCa_b_-ap1_KCapbp-ap1,DAN,PPL103,1,0.022902884399999997,0.019085737,left,dopamine
subtype_right_serotonin_enriched_kc_KCa_b_-ap1_KCapbp-ap1,MBON,MBON12,1,0.02265785315,0.019702481,right,acetylcholine
subtype_right_serotonin_enriched_kc_KCa_b_-ap2_KCapbp-ap2,MBIN,DPM,1,0.21883227500000002,0.17506582,right,dopamine
subtype_right_serotonin_enriched_kc_KCa_b_-ap2_KCapbp-ap2,MBIN,APL,1,0.15849837499999997,0.1267987,right,gaba
subtype_right_serotonin_enriched_kc_KCa_b_-ap2_KCapbp-ap2,MBON,MBON03,1,0.09266608,0.0805792,left,glutamate
subtype_right_serotonin_enriched_kc_KCa_b_-ap2_KCapbp-ap2,MBON,MBON13,1,0.03646116055,0.031705357,right,acetylcholine
subtype_right_serotonin_enriched_kc_KCa_b_-ap2_KCapbp-ap2,MBON,MBON31,1,0.03414206365,0.029688751,right,gaba
subtype_right_serotonin_enriched_kc_KCa_b_-ap2_KCapbp-ap2,MBON,MBON04,1,0.027061748249999996,0.023531955,left,glutamate
subtype_right_serotonin_enriched_kc_KCa_b_-ap2_KCapbp-ap2,MBON,MBON09,2,0.026810063274999997,0.025062557,left,gaba
subtype_right_serotonin_enriched_kc_KCa_b_-ap2_KCapbp-ap2,MBON,MBON16,1,0.025403684,0.02209016,right,acetylcholine
subtype_right_serotonin_enriched_kc_KCa_b_-ap2_KCapbp-ap2,MBON,MBON12,2,0.022676149649999998,0.020139212,right,acetylcholine
subtype_right_serotonin_enriched_kc_KCa_b_-ap2_KCapbp-ap2,DAN,PPL103,1,0.01490001,0.012416675,left,dopamine
subtype_right_serotonin_enriched_kc_KCa_b_-m_KCapbp-m,MBIN,DPM,1,0.23513496250000002,0.18810797,right,dopamine
subtype_right_serotonin_enriched_kc_KCa_b_-m_KCapbp-m,MBIN,APL,1,0.1949695,0.1559756,right,gaba
subtype_right_serotonin_enriched_kc_KCa_b_-m_KCapbp-m,MBON,MBON03,1,0.079453477,0.06908998,left,glutamate
subtype_right_serotonin_enriched_kc_KCa_b_-m_KCapbp-m,MBON,MBON13,1,0.0447928726,0.038950324,right,acetylcholine
subtype_right_serotonin_enriched_kc_KCa_b_-m_KCapbp-m,MBON,MBON09,2,0.028581840674999998,0.025927937,left,gaba
subtype_right_serotonin_enriched_kc_KCa_b_-m_KCapbp-m,MBON,MBON17,1,0.021088573499999996,0.01833789,right,acetylcholine
subtype_right_serotonin_enriched_kc_KCa_b_-m_KCapbp-m,MBON,MBON04,1,0.018027771449999997,0.015676323,left,glutamate
subtype_right_serotonin_enriched_kc_KCa_b_-m_KCapbp-m,DAN,PPL103,1,0.014769334799999999,0.012307779,left,dopamine
subtype_right_serotonin_enriched_kc_KCa_b_-m_KCapbp-m,MBON,MBON12,2,0.014671670675,0.013509711,right,acetylcholine
subtype_right_serotonin_enriched_kc_KCa_b_-m_KCapbp-m,MBON,MBON05,1,0.0138463979,0.012040346,left,acetylcholine
subtype_right_serotonin_enriched_kc_KCab-c_KCab,MBIN,APL,1,0.24882923750000002,0.19906339,right,gaba
subtype_right_serotonin_enriched_kc_KCab-c_KCab,MBIN,DPM,1,0.0955732125,0.07645857,right,dopamine
subtype_right_serotonin_enriched_kc_KCab-c_KCab,MBON,MBON22,1,0.04500715439999999,0.039136656,right,acetylcholine
subtype_right_serotonin_enriched_kc_KCab-c_KCab,MBON,MBON18,1,0.04025980604999999,0.035008527,right,acetylcholine
subtype_right_serotonin_enriched_kc_KCab-c_KCab,MBON,MBON07,2,0.032947763925,0.029478624,right,glutamate
subtype_right_serotonin_enriched_kc_KCab-c_KCab,MBON,MBON14,2,0.026072608525,0.023471668,right,acetylcholine
subtype_right_serotonin_enriched_kc_KCab-c_KCab,MBON,MBON11,1,0.0256621741,0.022314934,right,gaba
subtype_right_serotonin_enriched_kc_KCab-c_KCab,MBON,MBON05,1,0.022708043749999997,0.019746125,left,acetylcholine
subtype_right_serotonin_enriched_kc_KCab-c_KCab,MBON,MBON02,1,0.0224067679,0.019484146,right,gaba
subtype_right_serotonin_enriched_kc_KCab-c_KCab,DAN,PPL106,1,0.020555952,0.01712996,right,dopamine
subtype_right_serotonin_enriched_kc_KCab-m_KCab,MBIN,APL,1,0.169625025,0.13570002,right,gaba
subtype_right_serotonin_enriched_kc_KCab-m_KCab,MBIN,DPM,1,0.10856778750000001,0.08685423,right,dopamine
subtype_right_serotonin_enriched_kc_KCab-m_KCab,MBON,MBON07,2,0.041789581475,0.037723653,right,glutamate
subtype_right_serotonin_enriched_kc_KCab-m_KCab,MBON,MBON18,1,0.041332633,0.03594142,right,acetylcholine
subtype_right_serotonin_enriched_kc_KCab-m_KCab,MBON,MBON22,1,0.040678122,0.03537228,right,acetylcholine
subtype_right_serotonin_enriched_kc_KCab-m_KCab,MBON,MBON14,2,0.03955804155,0.03662958,right,acetylcholine
subtype_right_serotonin_enriched_kc_KCab-m_KCab,MBON,MBON11,1,0.031838831,0.02768594,right,gaba
subtype_right_serotonin_enriched_kc_KCab-m_KCab,MBON,MBON02,1,0.02252520065,0.019587131,right,gaba
subtype_right_serotonin_enriched_kc_KCab-m_KCab,MBON,MBON05,1,0.0196116446,0.017053604,left,acetylcholine
subtype_right_serotonin_enriched_kc_KCab-m_KCab,MBON,MBON06,1,0.0194297399,0.016895426,left,glutamate
subtype_right_serotonin_enriched_kc_KCab-p_KCab-p,MBIN,APL,1,0.206586325,0.16526906,right,gaba
subtype_right_serotonin_enriched_kc_KCab-p_KCab-p,MBIN,DPM,1,0.149230175,0.11938414,right,dopamine
subtype_right_serotonin_enriched_kc_KCab-p_KCab-p,MBON,MBON07,2,0.032397503875,0.029611789,right,glutamate
subtype_right_serotonin_enriched_kc_KCab-p_KCab-p,MBON,MBON06,1,0.029616587099999998,0.025753554,left,glutamate
subtype_right_serotonin_enriched_kc_KCab-p_KCab-p,DAN,PAM09,2,0.028347069,0.024400547,left,dopamine
subtype_right_serotonin_enriched_kc_KCab-p_KCab-p,MBON,MBON14,1,0.020699609,0.01799966,right,acetylcholine
subtype_right_serotonin_enriched_kc_KCab-p_KCab-p,MBON,MBON05,1,0.019742993,0.01716782,left,acetylcholine
subtype_right_serotonin_enriched_kc_KCab-p_KCab-p,MBON,MBON11,1,0.01638713315,0.014249681,right,gaba
subtype_right_serotonin_enriched_kc_KCab-p_KCab-p,MBON,MBON02,1,0.015113819799999999,0.013142452,right,gaba
subtype_right_serotonin_enriched_kc_KCab-p_KCab-p,DAN,PPL106,1,0.014566955999999999,0.01213913,right,dopamine
subtype_right_serotonin_enriched_kc_KCab-s_KCab,MBIN,APL,1,0.1533784875,0.12270279,right,gaba
subtype_right_serotonin_enriched_kc_KCab-s_KCab,MBIN,DPM,1,0.112233725,0.08978698,right,dopamine
subtype_right_serotonin_enriched_kc_KCab-s_KCab,MBON,MBON14,2,0.044744950949999994,0.042708073,right,acetylcholine
subtype_right_serotonin_enriched_kc_KCab-s_KCab,MBON,MBON07,2,0.042126295725,0.036691733,right,glutamate
subtype_right_serotonin_enriched_kc_KCab-s_KCab,MBON,MBON18,1,0.034368514749999995,0.029885665,right,acetylcholine
subtype_right_serotonin_enriched_kc_KCab-s_KCab,MBON,MBON11,1,0.027993035499999996,0.02434177,right,gaba
subtype_right_serotonin_enriched_kc_KCab-s_KCab,MBON,MBON02,1,0.02739332545,0.023820283,right,gaba
subtype_right_serotonin_enriched_kc_KCab-s_KCab,MBON,MBON06,1,0.025286179299999996,0.021987982,left,glutamate
subtype_right_serotonin_enriched_kc_KCab-s_KCab,DAN,PPL106,1,0.0241190916,0.020099243,right,dopamine
subtype_right_serotonin_enriched_kc_KCab-s_KCab,MBON,MBON22,1,0.020589534449999995,0.017903943,right,acetylcholine
subtype_right_serotonin_enriched_kc_KCg-d_KCg-d,MBIN,APL,1,0.2054944125,0.16439553,right,gaba
subtype_right_serotonin_enriched_kc_KCg-d_KCg-d,MBIN,DPM,1,0.1165909375,0.09327275,right,dopamine
subtype_right_serotonin_enriched_kc_KCg-d_KCg-d,MBON,MBON05,1,0.093177899,0.08102426,left,acetylcholine
subtype_right_serotonin_enriched_kc_KCg-d_KCg-d,MBON,MBON27,1,0.0693796265,0.06033011,right,acetylcholine
subtype_right_serotonin_enriched_kc_KCg-d_KCg-d,MBON,MBON11,1,0.0424159468,0.036883432,right,gaba
subtype_right_serotonin_enriched_kc_KCg-d_KCg-d,MBON,MBON09,2,0.031860810375,0.02878843,right,gaba
subtype_right_serotonin_enriched_kc_KCg-d_KCg-d,MBON,MBON01,1,0.0212283169,0.018459406,left,glutamate
subtype_right_serotonin_enriched_kc_KCg-d_KCg-d,MBON,MBON22,1,0.01870793435,0.016267769,right,acetylcholine
subtype_right_serotonin_enriched_kc_KCg-d_KCg-d,MBON,MBON32,1,0.013145600549999999,0.011430957,right,gaba
subtype_right_serotonin_enriched_kc_KCg-d_KCg-d,MBON,MBON26,1,0.01226230395,0.010662873,right,acetylcholine
subtype_right_serotonin_enriched_kc_KCg-d_KCg-d,MBON,MBON30,1,0.011212251599999999,0.009749784,right,glutamate
subtype_right_serotonin_enriched_kc_KCg-m_KCg-m,MBIN,APL,1,0.2299201125,0.18393609,right,gaba
subtype_right_serotonin_enriched_kc_KCg-m_KCg-m,MBIN,DPM,1,0.14041325,0.1123306,right,dopamine
subtype_right_serotonin_enriched_kc_KCg-m_KCg-m,MBON,MBON05,1,0.1003145345,0.08723003,left,acetylcholine
subtype_right_serotonin_enriched_kc_KCg-m_KCg-m,MBON,MBON11,1,0.0537984536,0.046781264,right,gaba
subtype_right_serotonin_enriched_kc_KCg-m_KCg-m,MBON,MBON09,2,0.035696955075,0.03282067,right,gaba
subtype_right_serotonin_enriched_kc_KCg-m_KCg-m,MBON,MBON22,1,0.032411657499999996,0.02818405,right,acetylcholine
subtype_right_serotonin_enriched_kc_KCg-m_KCg-m,MBON,MBON30,1,0.028033582199999997,0.024377028,right,glutamate
subtype_right_serotonin_enriched_kc_KCg-m_KCg-m,DAN,PPL101,1,0.018347073,0.0152892275,left,dopamine
subtype_right_serotonin_enriched_kc_KCg-m_KCg-m,MBON,MBON21,1,0.017102345749999998,0.014871605,right,acetylcholine
subtype_right_serotonin_enriched_kc_KCg-m_KCg-m,MBON,MBON01,1,0.01623837835,0.014120329,left,glutamate
subtype_right_serotonin_enriched_kc_KCg-m_KCg-m,MBON,MBON32,1,0.01488834735,0.012946389,right,gaba
